_mb_row_id,Municipio,Categoria,Nome,Endereco,Latitude,Longitude
168,Campina Grande,Educação,"ECI Professor Itan Pereira
","R. Luís Mota, S/N - Bodocongó, Campina Grande - PB, 58430-710",-7.21511417,-35.92475386
169,Campina Grande,Educação,"Escola Estadual Prof Anésio Leão
","R. Quinze de Novembro, 1055 - Palmeira, Campina Grande - PB, 58401-075",-7.19804404,-35.89727850
170,Campina Grande,Educação,EEEFM MAJOR VENEZIANO VITAL DO REGO,"RUA MARIA A. CANDIDA S/N - Acácio Figueiredo, Campina Grande - PB, 58421-295",-7.26752457,-35.92096777
171,Campina Grande,Educação,"EEEF DE APLICACAO
","Av. Pref. Severino Bezerra Cabral, S/N - Catolé, Campina Grande - PB, 58410-185",-7.22733616,-35.87358923
172,Campina Grande,Educação,EEEF NOSSA SENHORA DO ROSARIO,"R. Nilo Peçanha, 250 - Prata, Campina Grande - PB, 58400-515",-7.21950241,-35.89659185
173,Campina Grande,Educação,"EEEFM Doutor Hortensio de Sousa Ribeiro - PREMEM
","R. Severino Trindade, S/N - Catolé, Campina Grande - PB, 58410-188",-7.23380742,-35.87255926
174,Campina Grande,Educação,Escola Estadual de Audiocomunicação Demóstenes Cunha Lima,"R. Profa. Eutécia Vital Ribeiro, S/N - Catolé, Campina Grande - PB, 58410-205",-7.24065709,-35.87103963
175,Campina Grande,Educação,EEEFM CLEMENTINO PROCOPIO,"R. Felipe Camarão, 168 - São José, Campina Grande - PB, 58400-366",-7.22222720,-35.88972540
176,Campina Grande,Educação,EEEFM ADEMAR VELOSO DA SILVEIRA,"RUA JOAO VIRGOLINO DE ARAUJO, 1043 - Bodocongó, Campina Grande - PB, 58430-385",-7.21609638,-35.91513128
177,Campina Grande,Educação,"Escola Estadual Irmã Zuleide Porto
","R. Projetada, 236 - Nova Brasília, Campina Grande - PB, 58406-575",-7.20894366,-35.85504980
178,Campina Grande,Educação,EEEFM PREFEITO WILLIAMS DE SOUSA ARRUDA,"R. Bruxelas, S/N - Cuités, Campina Grande - PB, 58404-864",-7.18169413,-35.90551824
179,Campina Grande,Educação,"EEEF NINA ALVES DE LIMA
","R. Francisco Rosa de Farias, S/N - Monte Santo, Campina Grande - PB, 58400-710",-7.21030609,-35.89865179
180,Campina Grande,Educação,EEEF Nossa Senhora Aparecida,"R ROSA MARIA BANDEIRA DA SILVA S/N - Mutirão, Campina Grande - PB, 58436-108",-7.22358254,-35.94921623
181,Campina Grande,Educação,Escola Estadual de 1º e 2º Grau Pe Hildon Bandeira,"R. Pres. João Pessoa, 1485 - Centro, Campina Grande - PB, 58388-000",-7.21438631,-35.89428459
